month,bitcoin_market_price_usd_monthly,network_difficulty_monthly,blocks_mined_monthly,total_transaction_fees_btc_monthly,new_coins_issued_btc_monthly,total_miner_compensation_btc_monthly,total_miner_compensation_usd_monthly,miner_compensation_per_block_btc_monthly,implied_block_subsidy_btc_monthly,coinmetrics_bitcoin_price_usd_monthly,bitcoinvisuals_block_subsidy_btc_monthly,analysis_sample,daily_observations,calendar_days_in_month,price_observation_days,difficulty_observation_days,blocks_observation_days,compensation_observation_days,complete_price_month,complete_backbone_month,frontier_efficiency_j_per_th,frontier_hardware_model,frontier_hardware_type,frontier_release_date,frontier_changed,eta_weighted_avg_j_per_th,n_active_devices,sum_weights,energy_per_block_frontier_j,energy_per_block_weighted_j,mci_frontier_j_per_btc,mci_weighted_j_per_btc,log_bitcoin_market_price_usd,log_mci_frontier,log_mci_weighted
2009-01-01,,0.8275862068965517,2548.0,0.0,127400.0,127400.0,0.0,50.0,50.0,,50.0,False,29,31,0,29,29,29,False,False,14313725.5,Intel Core i5-650,CPU,2009-01-01,True,,,,50877.5030949693,,1017.550061899386,,,6.9251531169903435,
2009-02-01,,1.0,3380.0,2.01,169000.0,169002.01,0.0,50.00059467455622,50.0,,50.0,False,28,28,0,28,28,28,False,True,14313725.5,Intel Core i5-650,CPU,2009-01-01,False,,,,61476.982906421246,,1229.5250347833367,,,7.114383223208475,
2009-03-01,,1.0,3466.0,0.0,173300.0,173300.0,0.0,50.0,50.0,,50.0,False,31,31,0,31,31,31,False,True,14313725.5,Intel Core i5-650,CPU,2009-01-01,False,14313725.5,1.0,1.0,61476.982906421246,61476.982906421246,1229.539658128425,1229.539658128425,,7.114395116628872,7.114395116628872
2009-04-01,,1.0,3442.0,0.0,172100.0,172100.0,0.0,50.0,50.0,,50.0,False,30,30,0,30,30,30,False,True,14313725.5,Intel Core i5-650,CPU,2009-01-01,False,14313725.5,1.0,1.0,61476.982906421246,61476.982906421246,1229.539658128425,1229.539658128425,,7.114395116628872,7.114395116628872
2009-05-01,,1.0,3383.0,0.13,169150.0,169150.13,0.0,50.00003842743128,50.0,,50.0,False,31,31,0,31,31,31,False,True,14313725.5,Intel Core i5-650,CPU,2009-01-01,False,14313725.5,1.0,1.0,61476.982906421246,61476.982906421246,1229.5387131681368,1229.5387131681368,,7.114394348080542,7.114394348080542
2009-06-01,,1.0,2236.0,0.0,111800.0,111800.0,0.0,50.0,50.0,,50.0,False,30,30,0,30,30,30,False,True,14313725.5,Intel Core i5-650,CPU,2009-01-01,False,14313725.5,1.0,1.0,61476.982906421246,61476.982906421246,1229.539658128425,1229.539658128425,,7.114395116628872,7.114395116628872
2009-07-01,,1.0,1925.0,0.14,96250.0,96250.14,0.0,50.00007272727273,50.0,,50.0,False,31,31,0,31,31,31,False,True,14313725.5,Intel Core i5-650,CPU,2009-01-01,False,14313725.5,1.0,1.0,61476.982906421246,61476.982906421246,1229.5378697097053,1229.5378697097053,,7.114393662084476,7.114393662084476
2009-08-01,,1.0,1564.0,0.13,78200.0,78200.13,0.0,50.00008312020461,50.0,,50.0,False,31,31,0,31,31,31,False,True,14313725.5,Intel Core i5-650,CPU,2009-01-01,False,14313725.5,1.0,1.0,61476.982906421246,61476.982906421246,1229.5376141400636,1229.5376141400636,,7.114393454226162,7.114393454226162
2009-09-01,,1.0,2159.0,0.12,107950.0,107950.12,0.0,50.00005558128763,50.0,,50.0,False,30,30,0,30,30,30,False,True,14313725.5,Intel Core i5-650,CPU,2009-01-01,False,14313725.5,1.0,1.0,61476.982906421246,61476.982906421246,1229.5382913419965,1229.5382913419965,,7.114394005003738,7.114394005003738
2009-10-01,,1.0,2126.0,0.12,106300.0,106300.12,0.0,50.00005644402634,50.0,,50.0,False,31,31,0,31,31,31,False,True,14313725.5,Intel Core i5-650,CPU,2009-01-01,False,14313725.5,1.0,1.0,61476.982906421246,61476.982906421246,1229.5382701266149,1229.5382701266149,,7.114393987748983,7.114393987748983
2009-11-01,,1.0,2217.0,0.0,110850.0,110850.0,0.0,50.0,50.0,,50.0,False,30,30,0,30,30,30,False,True,14313725.5,Intel Core i5-650,CPU,2009-01-01,False,14313725.5,1.0,1.0,61476.982906421246,61476.982906421246,1229.539658128425,1229.539658128425,,7.114395116628872,7.114395116628872
2009-12-01,,1.011799969955667,4048.0,0.22,202400.0,202400.22,0.0,50.00005434782609,50.0,,50.0,False,31,31,0,31,31,31,False,True,14313725.5,Intel Core i5-650,CPU,2009-01-01,False,14313725.5,1.0,1.0,62202.40945768207,62202.40945768207,1244.0468369288187,1244.0468369288187,,7.126124922854695,7.126124922854695
