"system","sample","sample_start","sample_end","nobs","dependent_variable","cost_variable","model_id","model","test","test_label","statistics","1pct","5pct","10pct","reject_1pct","reject_5pct","reject_10pct","break_index","break_month","trim","lrv_bandwidth","lrv_kernel"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",1,"C_level_shift","ADF_t","ADF*",-3.78103436277758,-5.13,-4.61,-4.34,FALSE,FALSE,FALSE,84,"2017-07-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",1,"C_level_shift","PP_Zt","Zt*",-4.08488328524403,-5.13,-4.61,-4.34,FALSE,FALSE,FALSE,79,"2017-02-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",1,"C_level_shift","PP_Za","Za*",-30.6177683202596,-50.07,-40.48,-36.19,FALSE,FALSE,FALSE,79,"2017-02-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",2,"C_T_level_shift_with_trend","ADF_t","ADF*",-27.0405225589346,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,137,"2021-12-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",2,"C_T_level_shift_with_trend","PP_Zt","Zt*",-25.0539136256318,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,138,"2022-01-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",2,"C_T_level_shift_with_trend","PP_Za","Za*",-29.4303129349021,-57.28,-47.96,-43.22,FALSE,FALSE,FALSE,137,"2021-12-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",3,"C_S_regime_shift","ADF_t","ADF*",-4.112322185355,-5.47,-4.95,-4.68,FALSE,FALSE,FALSE,75,"2016-10-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",3,"C_S_regime_shift","PP_Zt","Zt*",-5.18864355979759,-5.47,-4.95,-4.68,FALSE,TRUE,TRUE,77,"2016-12-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",3,"C_S_regime_shift","PP_Za","Za*",-46.1342538482047,-57.17,-47.04,-41.85,FALSE,FALSE,TRUE,77,"2016-12-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",4,"regime_and_trend_shift","ADF_t","ADF*",-5.0214842516304,-6.02,-5.5,-5.24,FALSE,FALSE,FALSE,37,"2013-08-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",4,"regime_and_trend_shift","PP_Zt","Zt*",-4.27437698025748,-6.02,-5.5,-5.24,FALSE,FALSE,FALSE,79,"2017-02-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",4,"regime_and_trend_shift","PP_Za","Za*",-31.4522197407095,-69.37,-58.58,-53.31,FALSE,FALSE,FALSE,79,"2017-02-01",0.1,"nw","ba"
