"system","sample","sample_start","sample_end","nobs","dependent_variable","cost_variable","model_id","model","test","test_label","statistics","1pct","5pct","10pct","reject_1pct","reject_5pct","reject_10pct","break_index","break_month","trim","lrv_bandwidth","lrv_kernel"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",2,"C_T_level_shift_with_trend","ADF_t","ADF*",-38.7302287224283,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,115,"2023-07-01",0.1,"nw","ba"
"weighted","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_weighted",2,"C_T_level_shift_with_trend","ADF_t","ADF*",-21.0478819370317,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,100,"2022-04-01",0.1,"nw","ba"
"frontier","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_frontier",2,"C_T_level_shift_with_trend","ADF_t","ADF*",-36.0593829107775,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,126,"2021-01-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",2,"C_T_level_shift_with_trend","ADF_t","ADF*",-27.0405225589346,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,137,"2021-12-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",2,"C_T_level_shift_with_trend","PP_Za","Za*",-38.2379603626716,-57.28,-47.96,-43.22,FALSE,FALSE,FALSE,115,"2023-07-01",0.1,"nw","ba"
"weighted","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_weighted",3,"C_S_regime_shift","PP_Za","Za*",-65.3974045679876,-57.17,-47.04,-41.85,TRUE,TRUE,TRUE,36,"2016-12-01",0.1,"nw","ba"
"frontier","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_frontier",3,"C_S_regime_shift","PP_Za","Za*",-44.5754294387914,-57.17,-47.04,-41.85,FALSE,FALSE,TRUE,43,"2014-02-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",3,"C_S_regime_shift","PP_Za","Za*",-46.1342538482047,-57.17,-47.04,-41.85,FALSE,FALSE,TRUE,77,"2016-12-01",0.1,"nw","ba"
"frontier","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_frontier",2,"C_T_level_shift_with_trend","PP_Zt","Zt*",-38.5012991123239,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,115,"2023-07-01",0.1,"nw","ba"
"weighted","asic_robustness_2014_01","2014-01-01","2025-12-01",144,"log_bitcoin_market_price_usd","log_mci_weighted",2,"C_T_level_shift_with_trend","PP_Zt","Zt*",-20.9323177369765,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,100,"2022-04-01",0.1,"nw","ba"
"frontier","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_frontier",2,"C_T_level_shift_with_trend","PP_Zt","Zt*",-35.6026592550404,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,126,"2021-01-01",0.1,"nw","ba"
"weighted","baseline_2010_08","2010-08-01","2025-12-01",185,"log_bitcoin_market_price_usd","log_mci_weighted",2,"C_T_level_shift_with_trend","PP_Zt","Zt*",-25.0539136256318,-5.45,-4.99,-4.72,TRUE,TRUE,TRUE,138,"2022-01-01",0.1,"nw","ba"
