variable,label,transformation,test,deterministic,statistic,p_value,lags_used,nobs,critical_1pct,critical_5pct,critical_10pct,reject_at_5pct
log_bitcoin_market_price_usd,Log Bitcoin market price,level,ADF,c,-2.264276648902334,0.18374835685803914,7,177,-3.467845319799907,-2.878011745497439,-2.575551186759871,False
log_bitcoin_market_price_usd,Log Bitcoin market price,level,ADF,ct,-3.453548814055748,0.04463380947796185,7,177,-4.010849052566411,-3.435591125164623,-3.1417872287873205,True
log_bitcoin_market_price_usd,Log Bitcoin market price,level,KPSS,c,1.7891488033177492,0.01,9,185,0.739,0.463,0.347,True
log_bitcoin_market_price_usd,Log Bitcoin market price,level,KPSS,ct,0.3616576233809948,0.01,8,185,0.216,0.146,0.119,True
log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,ADF,c,-3.708974312602193,0.003988678652626767,6,177,-3.467845319799907,-2.878011745497439,-2.575551186759871,True
log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,ADF,ct,-3.8903053440264412,0.012510297575340727,6,177,-4.010849052566411,-3.435591125164623,-3.1417872287873205,True
log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,c,0.47075116657126737,0.048254241763228074,4,184,0.739,0.463,0.347,True
log_bitcoin_market_price_usd,Log Bitcoin market price,first_difference,KPSS,ct,0.07081804901940401,0.1,3,184,0.216,0.146,0.119,False
log_mci_weighted,"Log MCI, weighted efficiency",level,ADF,c,-1.5782597475674993,0.4945044667436631,10,174,-3.4685016947910636,-2.8782983668563396,-2.57570415906989,False
log_mci_weighted,"Log MCI, weighted efficiency",level,ADF,ct,-1.7085208798007547,0.747113058026188,10,174,-4.011763737803776,-3.4360292512258863,-3.1420436590266103,False
log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,c,1.0551359414562587,0.01,9,185,0.739,0.463,0.347,True
log_mci_weighted,"Log MCI, weighted efficiency",level,KPSS,ct,0.289101791712966,0.01,9,185,0.216,0.146,0.119,True
log_mci_weighted,"Log MCI, weighted efficiency",first_difference,ADF,c,-4.018547738771843,0.0013164440008320156,9,174,-3.4685016947910636,-2.8782983668563396,-2.57570415906989,True
log_mci_weighted,"Log MCI, weighted efficiency",first_difference,ADF,ct,-3.8020993195819144,0.01645470802769276,9,174,-4.011763737803776,-3.4360292512258863,-3.1420436590266103,True
log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,c,0.6290954782588585,0.019991320158285593,6,184,0.739,0.463,0.347,True
log_mci_weighted,"Log MCI, weighted efficiency",first_difference,KPSS,ct,0.19369202291766782,0.018365491405874564,6,184,0.216,0.146,0.119,True
log_mci_frontier,"Log MCI, frontier efficiency",level,ADF,c,-2.425114709369624,0.1347730611277751,0,184,-3.466398230774071,-2.8773796387256514,-2.575213838610586,False
log_mci_frontier,"Log MCI, frontier efficiency",level,ADF,ct,-1.9778787379501062,0.6134306070600933,0,184,-4.008832839770228,-3.434625048376243,-3.141221698677776,False
log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,c,1.7988911297552372,0.01,9,185,0.739,0.463,0.347,True
log_mci_frontier,"Log MCI, frontier efficiency",level,KPSS,ct,0.41273631856519943,0.01,9,185,0.216,0.146,0.119,True
log_mci_frontier,"Log MCI, frontier efficiency",first_difference,ADF,c,-14.419438174458278,7.957489290173716e-27,0,183,-3.466598080268425,-2.8774669520682674,-2.5752604356654425,True
log_mci_frontier,"Log MCI, frontier efficiency",first_difference,ADF,ct,-14.84651395822898,2.6348219268552455e-22,0,183,-4.009111257948332,-3.434758480556457,-3.141299816210755,True
log_mci_frontier,"Log MCI, frontier efficiency",first_difference,KPSS,c,0.40011389802363057,0.07710607843809028,1,184,0.739,0.463,0.347,False
log_mci_frontier,"Log MCI, frontier efficiency",first_difference,KPSS,ct,0.034524781976975734,0.1,1,184,0.216,0.146,0.119,False
